Wave/freq,Total,CO2,N2,CO,O2,SO2,H2O,O3,Volcanic,Rayleigh,CIA,wavelength,Total_normalized,peak_index,planet,N2O,CH4,Dust,WaterIce,H2,He,C2H6,C2H2,Ammonia,NH3,C2H4
1.558949636,0.988842,0.999934,0.999999,0.999997,0.999999,,0.990445,0.999999,,0.998762,0.999685,15589.49636,0.9957735798896116,228,earth,0.999999,0.999996,,,,,,,,,
1.590363251,0.987489,0.999453,0.999999,0.999996,0.999999,,0.989378,0.999998,,0.998857,0.999758,15903.632510000001,0.9944110956367272,232,earth,0.999985,0.999995,,,,,,,,,
1.622409867,0.993039,0.99857,0.999999,0.999999,0.999999,,0.997134,0.999999,,0.998944,0.999618,16224.09867,1.0,236,earth,0.999997,0.998701,,,,,,,,,
1.73108894,0.874293,0.999997,0.999999,0.999999,0.999999,,0.888919,0.999991,,0.999185,0.989171,17310.8894,0.8804216148610478,249,earth,0.999996,0.9928,,,,,,,,,
1.990531758,0.591419,0.98293,0.999999,0.999999,0.999999,,0.617346,0.999996,,0.999533,0.964045,19905.31758,0.5955647260580904,277,earth,0.999762,0.999971,,,,,,,,,
2.040795179,0.8395,0.931427,0.999999,0.999999,0.999999,,0.887133,0.999857,,0.999578,0.993175,20407.95179,0.8453847230572012,282,earth,0.99995,0.999997,,,,,,,,,
2.134489268,0.9751,0.999635,0.999986,0.999999,0.999999,,0.980722,0.999996,,0.999647,0.995596,21344.892679999997,0.9819352512841892,291,earth,0.999573,0.99965,,,,,,,,,
2.232484906,0.959785,0.999987,0.999999,0.999999,0.999999,,0.985695,0.999993,,0.999705,0.993915,22324.849059999997,0.9665128962709421,300,earth,0.999987,0.977452,,,,,,,,,
2.311803748,0.906652,0.999998,0.999999,0.999771,0.999999,,0.968462,0.999979,,0.999743,0.977788,23118.03748,0.9130074448234158,307,earth,0.999957,0.948638,,,,,,,,,
2.393940742,0.571021,0.999992,0.999999,0.99987,0.999999,,0.660173,0.999993,,0.999776,0.880844,23939.40742,0.5750237402559215,314,earth,0.999999,0.946863,,,,,,,,,
2.430029697,0.450163,0.999999,0.999999,0.999989,0.999999,,0.591629,0.999987,,0.999789,0.765243,24300.296970000003,0.45331855042954,317,earth,0.999999,0.987017,,,,,,,,,
3.026344044,0.13609,0.996732,0.999999,0.999999,0.999999,,0.170397,0.999962,,0.999912,0.799177,30263.44044,0.13704396302662836,361,earth,0.999688,0.999983,,,,,,,,,
3.056683143,0.0735251,0.999782,0.999999,0.999999,0.999999,,0.0974053,0.999948,,0.999915,0.754936,30566.83143,0.07404049589190353,363,earth,0.999984,0.999951,,,,,,,,,
3.133868223,0.193403,0.998956,0.999999,0.999999,0.999999,,0.260157,0.998456,,0.999923,0.743971,31338.68223,0.19475871541802486,368,earth,0.999969,0.991275,,,,,,,,,
3.165285252,0.467076,0.99869,0.999999,0.999999,0.999999,,0.614511,0.999301,,0.999926,0.763556,31652.85252,0.4703501070954917,370,earth,0.999962,0.953609,,,,,,,,,
3.294134658,0.219509,0.999998,0.999999,0.999999,0.999999,,0.275072,0.982593,,0.999937,0.809726,32941.34658,0.22104771313110563,378,earth,0.999994,0.902339,,,,,,,,,
3.394202264,0.660603,0.999996,0.999999,0.999999,0.999999,,0.752019,0.999866,,0.999944,0.960004,33942.02264,0.6652336917281195,384,earth,0.999999,0.813219,,,,,,,,,
3.497309675,0.822058,0.999999,0.999999,0.999999,0.999999,,0.882236,0.999938,,0.99995,0.972959,34973.09675,0.8278204582095969,390,earth,0.999995,0.942756,,,,,,,,,
3.639674814,0.868637,0.999393,0.999999,0.999999,0.999999,,0.911431,0.999147,,0.999957,0.968652,36396.74814,0.8747259674594855,398,earth,0.999703,0.974514,,,,,,,,,
3.694543367,0.831274,0.999989,0.999999,0.999999,0.999999,,0.867976,0.999824,,0.99996,0.967295,36945.43367,0.8371010604820153,401,earth,0.999996,0.982924,,,,,,,,,
3.75023907,0.801082,0.999906,0.999999,0.999999,0.999999,,0.835121,0.999956,,0.999962,0.963952,37502.3907,0.8066974207458115,404,earth,0.999997,0.990447,,,,,,,,,
3.844937306,0.839291,0.996011,0.999999,0.999999,0.999999,,0.899664,0.999996,,0.999966,0.953641,38449.37306,0.8451742580100077,409,earth,0.988886,0.984388,,,,,,,,,
3.902900216,0.833088,0.999973,0.999999,0.999999,0.999999,,0.948453,0.999994,,0.999967,0.9373,39029.00216,0.8389277762504797,412,earth,0.93066,0.991497,,,,,,,,,
3.961736925,0.88172,0.998582,0.999991,0.999999,0.999999,,0.992073,0.999986,,0.999969,0.904152,39617.369249999996,0.8879006766098814,415,earth,0.986366,0.996725,,,,,,,,,
4.601161593,0.611718,0.998952,0.999979,0.878577,0.999999,,0.848796,0.997567,,0.999983,0.872834,46011.61592999999,0.616006017890536,445,earth,0.827857,0.999963,,,,,,,,,
4.647288238,0.582122,0.997434,0.999994,0.93769,0.999999,,0.676246,0.998717,,0.999983,0.882584,46472.882379999995,0.5862025559922621,447,earth,0.981496,0.999955,,,,,,,,,
4.693877303,0.670484,0.938875,0.999998,0.929675,0.999999,,0.837525,0.905268,,0.999984,0.880533,46938.77303,0.6751839555143353,449,earth,0.998875,0.999943,,,,,,,,,
4.740933423,0.524772,0.946134,0.999999,0.924781,0.999999,,0.655298,0.882247,,0.999985,0.868082,47409.33423000001,0.5284505442384438,451,earth,0.999968,0.999981,,,,,,,,,
4.860647933,0.431543,0.706827,0.999999,0.989596,0.999999,,0.647455,0.991129,,0.999986,0.802543,48606.47933,0.43456802804320876,456,earth,0.999998,0.999998,,,,,,,,,
4.909375928,0.302344,0.922115,0.999999,0.997397,0.999999,,0.405717,0.995493,,0.999986,0.759415,49093.759280000006,0.30446336951519526,458,earth,0.999999,0.999999,,,,,,,,,
4.983385384,0.234188,0.99481,0.999999,0.999853,0.999999,,0.344646,0.998625,,0.999987,0.680616,49833.853839999996,0.23582960991461566,461,earth,0.999999,0.999999,,,,,,,,,
5.058510541,0.198972,0.997566,0.999999,0.999993,0.999999,,0.352708,0.999746,,0.999988,0.564486,50585.105410000004,0.20036675296740614,464,earth,0.999949,0.999999,,,,,,,,,
7.690805831,0.0924836,0.999805,0.999999,0.999999,0.999999,,0.443858,0.999999,,0.999997,0.532147,76908.05831,0.09313189109390467,548,earth,0.476243,0.442699,,,,,,,,,
7.845779419,0.113517,0.993895,0.999999,0.999999,0.999999,,0.240216,0.999999,,0.999997,0.649449,78457.79419,0.11431273091993366,552,earth,0.544776,0.810756,,,,,,,,,
8.003875802,0.351874,0.993803,0.999999,0.999999,0.999999,,0.546071,0.999989,,0.999997,0.720452,80038.75802,0.3543405646706726,556,earth,0.903988,0.805088,,,,,,,,,
8.12453523,0.601147,0.998382,0.999999,0.999999,0.999999,,0.846536,0.999923,,0.999997,0.758577,81245.3523,0.605360917345643,559,earth,0.994464,0.910622,,,,,,,,,
8.205983696,0.309476,0.999726,0.999999,0.999999,0.999999,,0.405845,0.999749,,0.999997,0.776719,82059.83696,0.31164536337444954,561,earth,0.998883,0.925353,,,,,,,,,
8.288248682,0.577821,0.999959,0.999999,0.999999,0.999999,,0.736711,0.999248,,0.999997,0.789868,82882.48682,0.5818714068631746,563,earth,0.996656,0.98809,,,,,,,,,
8.371338375,0.579002,0.999995,0.999999,0.999999,0.999999,,0.732938,0.998164,,0.999998,0.799224,83713.38375000001,0.5830606854312872,565,earth,0.982966,0.991509,,,,,,,,,
8.455261042,0.640583,0.999998,0.999999,0.999999,0.999999,,0.822059,0.996375,,0.999998,0.806682,84552.61042,0.6450733556285302,567,earth,0.955738,0.995215,,,,,,,,,
8.540025034,0.577675,0.999999,0.999999,0.999999,0.999999,,0.721619,0.993344,,0.999998,0.811499,85400.25034,0.5817243834330778,569,earth,0.979641,0.996975,,,,,,,,,
8.625638785,0.746254,0.999999,0.999999,0.999999,0.999999,,0.957569,0.99011,,0.999998,0.814116,86256.38785,0.751485087695448,571,earth,0.963399,0.997861,,,,,,,,,
8.755671368,0.727568,0.999999,0.999999,0.999999,0.999999,,0.914013,0.984755,,0.999998,0.815324,87556.71368,0.7326681026626346,574,earth,0.982154,0.999509,,,,,,,,,
8.887664209,0.757012,0.999999,0.999999,0.999999,0.999999,,0.957205,0.968072,,0.999998,0.81358,88876.64209000001,0.7623184990720405,577,earth,0.998918,0.999621,,,,,,,,,
8.976763042,0.710364,0.999991,0.999999,0.999999,0.999999,,0.884053,0.978325,,0.999998,0.810877,89767.63042,0.7153435061462843,579,earth,0.999924,0.999777,,,,,,,,,
9.112088867,0.736299,0.99556,0.999999,0.999999,0.999999,,0.926974,0.981351,,0.999998,0.805303,91120.88867,0.7414603051843885,582,earth,0.999999,0.999841,,,,,,,,,
9.249454746,0.715033,0.930931,0.999999,0.999999,0.999999,,0.974964,0.97328,,0.999998,0.798034,92494.54746,0.7200452348799997,585,earth,0.999991,0.999934,,,,,,,,,
9.34218053,0.695567,0.938491,0.999999,0.999999,0.999999,,0.956817,0.951051,,0.999998,0.79253,93421.8053,0.7004427822069426,587,earth,0.999969,0.999943,,,,,,,,,
