Wave/freq,Total,CO2,N2,CO,O2,SO2,H2O,O3,Volcanic,Rayleigh,CIA,wavelength,Total_normalized,peak_index,planet,N2O,CH4,Dust,WaterIce,H2,He,C2H6,C2H2,Ammonia,NH3,C2H4
8.755671368,0.727568,0.999999,0.999999,0.999999,0.999999,,0.914013,0.984755,,0.999998,0.815324,87556.71368,0.7326681026626346,574,earth,0.982154,0.999509,,,,,,,,,
8.887664209,0.757012,0.999999,0.999999,0.999999,0.999999,,0.957205,0.968072,,0.999998,0.81358,88876.64209000001,0.7623184990720405,577,earth,0.998918,0.999621,,,,,,,,,
9.112088867,0.736299,0.99556,0.999999,0.999999,0.999999,,0.926974,0.981351,,0.999998,0.805303,91120.88867,0.7414603051843885,582,earth,0.999999,0.999841,,,,,,,,,
9.578082295,0.585037,0.956319,0.999999,0.999999,0.999999,,0.954579,0.774082,,0.999998,0.776079,95780.82295,0.5891379895452243,592,earth,0.99998,0.99998,,,,,,,,,
10.11824622,0.697707,0.989231,0.999999,0.999999,0.999999,,0.993214,0.96798,,0.999998,0.731767,101182.4622,0.7025977831686369,603,earth,0.999999,0.999999,,,,,,,,,
11.06864236,0.61955,0.997572,0.999999,0.999999,0.999999,,0.984975,0.999999,,0.999999,0.630505,110686.4236,0.6238929186064194,621,earth,0.999973,0.999999,,,,,,,,,
11.81008866,0.52534,0.999103,0.999999,0.999999,0.999999,,0.941244,0.999948,,0.999999,0.558573,118100.8866,0.5290225258021085,634,earth,0.999999,0.999999,,,,,,,,,
12.16884974,0.511553,0.991999,0.999999,0.999999,0.999999,,0.985225,0.999544,,0.999999,0.52347,121688.49740000001,0.5151388817559028,640,earth,0.999999,0.999999,,,,,,,,,
12.66420764,0.40427,0.91173,0.999999,0.999999,0.999999,,0.935978,0.996375,,0.999999,0.467035,126642.0764,0.407103849899148,648,earth,0.999999,0.999999,,,,,,,,,
12.91939776,0.329674,0.928503,0.999999,0.999999,0.999999,,0.797815,0.992464,,0.999999,0.43581,129193.97760000001,0.3319849472175816,652,earth,0.999999,0.999999,,,,,,,,,
1.990531758,0.469993,0.9436,0.999999,0.999999,0.999999,,0.999738,0.999999,,0.999987,0.999999,19905.31758,0.49785548205310187,277,mars,,,0.55368,0.899605,,,,,,,
2.645054537,0.545775,0.997416,0.999999,0.999999,0.999999,,0.981962,0.999999,,0.999995,0.999998,26450.54537,0.5781300481444015,334,mars,,,0.584052,0.951915,,,,,,,
2.725404706,0.25744,0.451792,0.999999,0.999999,0.999999,,0.97445,0.999999,,0.999996,0.999998,27254.04706,0.2727017536426086,340,mars,,,0.58886,0.968075,,,,,,,
4.143622562,0.647315,0.992651,0.999999,0.999999,0.999999,,0.999999,0.999999,,0.999998,0.999999,41436.22562,0.6856896195585969,424,mars,,,0.697008,0.93558,,,,,,,
4.532828635,0.663985,0.970203,0.999999,0.973022,0.999999,,0.999973,0.999999,,0.999999,0.999999,45328.28635,0.7033478631618532,442,mars,,,0.733037,0.944792,,,,,,,
7.690805831,0.944035,0.997471,0.999999,0.999999,0.999999,,0.999899,0.999999,,0.999999,0.998753,76908.05831,1.0,548,mars,,,0.968803,0.978193,,,,,,,
